l_id,r_id
a123,b3283
a156,b3053
a227,b4465
a252,b2651
a280,b2119
a289,b3595
a311,b4224
a321,b1520
a342,b3780
a351,b613
a357,b3963
a369,b926
a384,b3248
a435,b4101
a441,b3824
a484,b195
a559,b3722
a670,b5309
a777,b3421
a797,b3711
a890,b887
a983,b4898
a1018,b1576
a1062,b5369
a1112,b729
a1135,b3816
a1356,b4704
a1527,b838
a1987,b105
a56,b2841
a98,b659
a132,b272
a186,b3435
a187,b1006
a191,b2536
a348,b667
a405,b1429
a475,b2203
a524,b399
a532,b3098
a625,b4644
a633,b650
a697,b1680
a717,b4258
a774,b4284
a808,b416
a886,b5355
a919,b4726
a1510,b1397
a2494,b223
a60,b2770
a83,b4054
a102,b959
a131,b1935
a136,b3596
a141,b1530
a180,b4042
a203,b3746
a245,b877
a246,b4687
a258,b1875
a281,b4625
a350,b2204
a356,b5332
a394,b1857
a520,b4056
a573,b2513
a827,b3024
a866,b3436
a893,b2648
a1033,b77
a1037,b2662
a1257,b419
a1412,b4841
a1604,b3943
a64,b3045
a81,b3184
a199,b1198
a253,b2193
a326,b597
a378,b1321
a533,b3402
a547,b4198
a552,b2418
a640,b1971
a771,b314
a794,b1424
a869,b566
a925,b1561
a933,b1258
a972,b994
a1098,b3025
a1126,b3106
a1141,b279
a1570,b3952
a1739,b1783
a2575,b4545
a67,b5358
a209,b2305
a250,b3935
a353,b2150
a398,b3391
a402,b1682
a415,b3879
a478,b2466
a698,b3533
a704,b18
a810,b5146
a1399,b4997
a68,b2569
a485,b162
a487,b5213
a515,b3262
a580,b4109
a842,b4064
a1839,b5479
a71,b883
a340,b2882
a692,b1229
a873,b1837
a1023,b2530
a1044,b1456
a1389,b92
a74,b3093
a265,b1516
a512,b2319
a531,b127
a534,b980
a689,b2107
a739,b5262
a918,b5095
a969,b3461
a1177,b3494
a1204,b280
a1423,b3166
a1541,b664
a75,b1166
a129,b3886
a151,b1366
a222,b194
a240,b3285
a304,b49
a318,b783
a324,b5395
a373,b2481
a400,b3551
a401,b5163
a407,b3387
a462,b1187
a463,b4275
a472,b1796
a505,b4912
a509,b4930
a574,b4920
a599,b1933
a616,b2241
a647,b4123
a658,b3663
a720,b1940
a782,b639
a790,b3849
a920,b473
a953,b1081
a985,b4199
a988,b4051
a1000,b5050
a1007,b2277
a1014,b4572
a1124,b168
a1174,b1313
a1224,b4146
a1578,b277
a1690,b2675
a2025,b2875
a79,b3845
a128,b732
a144,b2181
a152,b4818
a197,b2395
a230,b1058
a310,b846
a346,b498
a383,b500
a437,b55
a500,b897
a543,b2538
a590,b5196
a627,b1325
a634,b2849
a675,b4855
a716,b74
a728,b5140
a905,b5172
a1253,b4420
a1366,b1917
a2595,b1592
a80,b3369
a89,b2835
a231,b4980
a242,b1605
a271,b4729
a274,b2522
a380,b2897
a387,b4317
a397,b4584
a422,b5458
a432,b4385
a488,b3263
a553,b3266
a564,b1953
a579,b1146
a598,b2376
a621,b4987
a624,b3756
a754,b1631
a848,b2677
a909,b2109
a915,b1473
a1345,b5017
a2482,b598
a86,b4549
a391,b1026
a490,b3927
a555,b356
a714,b1390
a819,b1930
a868,b5098
a1061,b3709
a1302,b2121
a1655,b118
a93,b174
a115,b648
a119,b2658
a204,b253
a221,b5122
a255,b4005
a275,b3404
a276,b924
a278,b372
a283,b1141
a285,b1147
a293,b626
a379,b344
a382,b173
a426,b2435
a502,b2895
a507,b2427
a536,b1655
a571,b339
a600,b2394
a608,b2173
a613,b1627
a622,b2743
a646,b781
a686,b4668
a699,b111
a750,b747
a824,b5200
a839,b4994
a939,b4740
a991,b969
a1006,b1762
a1028,b3269
a1068,b4484
a1095,b4992
a1128,b1854
a1132,b5144
a1303,b3954
a1344,b2366
a1938,b4461
a106,b2209
a264,b745
a459,b486
a594,b5435
a695,b4014
a763,b4018
a852,b3882
a1275,b284
a108,b3356
a213,b1432
a299,b84
a302,b1887
a413,b5220
a445,b4053
a446,b3159
a606,b4267
a708,b3715
a724,b3255
a829,b2642
a931,b2075
a3031,b3399
a116,b4351
a162,b4028
a198,b3651
a215,b2380
a270,b1070
a308,b1314
a365,b1311
a385,b635
a388,b973
a457,b2026
a508,b4638
a584,b4099
a661,b481
a674,b1400
a749,b3680
a785,b3223
a798,b2326
a861,b4662
a1013,b4104
a1082,b2377
a1161,b1651
a1337,b4334
a1589,b1927
a1896,b3331
a2716,b1629
a117,b5449
a125,b5284
a193,b4876
a458,b2694
a535,b4299
a629,b3637
a767,b998
a779,b2650
a1196,b621
a1299,b4993
a118,b3338
a153,b212
a256,b63
a404,b4550
a473,b4843
a666,b2201
a676,b1635
a809,b4840
a844,b3839
a889,b2110
a1183,b4070
a1262,b2873
a120,b2297
a363,b5171
a444,b4918
a820,b2907
a828,b4865
a1198,b1909
a1348,b3903
a122,b4044
a551,b5317
a569,b4523
a575,b1310
a881,b5300
a884,b3836
a992,b1828
a1243,b759
a1552,b2748
a133,b552
a147,b607
a224,b3238
a228,b4812
a309,b5405
a366,b5065
a372,b3259
a386,b2917
a558,b1809
a597,b2799
a635,b5370
a643,b5293
a649,b2670
a712,b2396
a733,b4857
a826,b870
a966,b1973
a990,b920
a1022,b271
a1172,b1142
a1294,b354
a1331,b4758
a1352,b4002
a1357,b1780
a1415,b3784
a1584,b4931
a139,b2606
a216,b4996
a453,b1649
a499,b1668
a655,b737
a773,b3115
a955,b553
a1036,b4328
a3385,b1073
a142,b5021
a177,b3513
a411,b1598
a483,b5037
a527,b3936
a581,b1537
a876,b3942
a1046,b749
a1067,b1273
a1137,b1548
a1682,b4003
a2467,b2565
a143,b2055
a322,b3133
a431,b949
a434,b590
