title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Ghost Dog: The Way of the Samurai,Forest Whitaker;Cliff Gorman;Tricia Vessey;Henry Silva;Victor Argo,Jim Jarmusch,Jim Jarmusch,Crime;Drama,deportation;hitman;mission of murder;book;code;telescope;beating;mafia;park;pigeon;hagakure;ice cream;haitian;cd player;rouge;arm sling;racial slur,R,116,1999,English,72.0,-,-,,,,
Eight Below,Paul Walker;Bruce Greenwood;Moon Bloodgood;Jason Biggs;Gerard Plunkett,Frank Marshall,David DiGilio,Adventure;Drama;Family,expedition;pilot;survival;sled dogs;seal,PG,120,2006,English,67.0,$40000000.00,$120455994.00,,,,
Witness,Harrison Ford;Kelly McGillis;Josef Sommer;Lukas Haas;Jan Rubeš,Peter Weir,Earl W. Wallace;William Kelley,Crime;Drama;Romance;Thriller,"philadelphia;corruption;detective;police brutality;amish;suspense;witness to murder;barn raising;lancaster, pa",R,113,1985,English,70.0,$12000000.00,$68706993.00,,,,
Blue Is the Warmest Color,Adèle Exarchopoulos;Léa Seydoux;Salim Kechiouche;Aurélien Recoing;Catherine Salée,Abdellatif Kechiche,Abdellatif Kechiche;Ghalia Lacroix,Romance;Drama,homophobia;love;lesbian relationship;gay interest;coming of age;lesbian;sexual attraction;teenager;based on graphic novel;high school student;sexual desire;teenage sexuality;lgbt;sexual awakening;social class;lille,NC-17,179,2013,French,72.0,$4300000.00,$10165694.00,,,,
Mamma Mia!,Meryl Streep;Pierce Brosnan;Amanda Seyfried;Colin Firth;Stellan Skarsgård,Phyllida Lloyd,Catherine Johnson,Comedy;Romance,single parent;parent child relationship;greece;musical;daughter;single;duringcreditsstinger;woman director,not available,108,2008,English,65.0,$52000000.00,$609841637.00,,,,
Third Person,Liam Neeson;Mila Kunis;James Franco;Olivia Wilde;Adrien Brody,Paul Haggis,Paul Haggis,Drama;Romance,paris;new york;rome;loss of loved one;hotel room;europe;trauma;love;con artist;writer;maid;incest;unfaithful husband;personality disorder;existential loneliness;alexithymia,R,137,2013,English,58.0,$28000000.00,$1749201.00,,,,
The Good Dinosaur,Raymond Ochoa;Jack Bright;Jeffrey Wright;Frances McDormand;Maleah Nipay-Padilla,Peter Sohn,Meg LeFauve;Meg LeFauve;Peter Sohn;Erik Benson;Kelsey Mann;Bob Peterson,Adventure;Animation;Family,tyrannosaurus rex;friends;alternate history;dinosaur;fear;storm;nature;human;journey,PG,93,2015,English,67.0,$175000000.00,$331926147.00,,,,
The East,Brit Marling;Alexander Skarsgård;Ellen Page;Toby Kebbell;Shiloh Fernandez,Zal Batmanglij,Zal Batmanglij;Brit Marling,Drama;Thriller,secret organization;murder;eco terrorism;environmentalism;vanity film;multiple felonies,PG-13,116,2013,English,65.0,$6500000.00,$2401510.00,,,,
The Running Man,Arnold Schwarzenegger;Richard Dawson;María Conchita Alonso;Yaphet Kotto;Jim Brown,Paul Michael Glaser,Stephen King;Steven E. de Souza,Action;Science Fiction,prison;chase;hunting human beings;game show;dystopia;dystopic future,R,101,1987,English,64.0,$27000000.00,$38122105.00,,,,
The Haunted Mansion,Eddie Murphy;Terence Stamp;Nathaniel Parker;Marsha Thomason;Jennifer Tilly,Rob Minkoff,David Berenbaum,Thriller;Fantasy;Comedy;Family;Mystery,secret passage;magic;estate agent;haunted house;family vacation;ghost;aftercreditsstinger,PG,88,2003,English,52.0,$90000000.00,$182290266.00,,,,
Porky's,Dan Monahan;Mark Herrier;Wyatt Knight;Cyril O'Reilly;Kaki Hunter,Bob Clark,Bob Clark,Comedy,sex;virgin;nudity;stripper;redneck;school;loss of virginity;hijinks;racism;teenager;lust;mischief;peeping tom;teaching;misadventure;sex comedy;duringcreditsstinger;voyeur;canuxploitation;virginity,R,94,1981,English,61.0,$4000000.00,$125728258.00,,,,
Dangerous Liaisons,Glenn Close;John Malkovich;Michelle Pfeiffer;Swoosie Kurtz;Keanu Reeves,Stephen Frears,Choderlos de Laclos;Choderlos de Laclos;Christopher Hampton,Drama;Romance,lovesickness;sexuality;cheating;cynic;ladykiller;fiancé;arranged marriage;passion;seduction;love letter;boredom;courtly life;french revolution;lover;plan;praise;gender roles,R,119,1988,English,71.0,$14000000.00,$34670720.00,,,,
Popstar: Never Stop Never Stopping,Andy Samberg;Jorma Taccone;Akiva Schaffer;Sarah Silverman;Tim Meadows,Jorma Taccone;Akiva Schaffer,Jorma Taccone;Akiva Schaffer;Andy Samberg,Comedy;Music,pop star;musician;record album;famous,R,86,2016,English,66.0,-,$9496130.00,,,,
Warcraft,Paula Patton;Travis Fimmel;Ben Foster;Robert Kazinsky;Dominic Cooper,Duncan Jones,Duncan Jones;Chris Metzen;Charles Leavitt,Action;Adventure;Fantasy,video game;elves;orcs;magic;chase;based on comic;sorcerer;fictional war;based on video game;wizard;fictional language;muscles;orc;sword and sorcery,PG-13,123,2016,English,63.0,$160000000.00,$433677183.00,,,,
Little Big Man,Dustin Hoffman;Faye Dunaway;Chief Dan George;Martin Balsam;Richard Mulligan,Arthur Penn,Thomas Berger;Calder Willingham,Adventure;Western;History,based on novel;indian territory;fight;settler;native american;orphan;cheyenne;george armstrong custer;19th century,PG-13,139,1970,English,76.0,$15000000.00,$31559552.00,,,,
The Vanishing,Bernard-Pierre Donnadieu;Eugene Bervoets;Johanna ter Steege;Gwen Eckhaus;Tania Latarjet,George Sluizer,Tim Krabbé;Tim Krabbé;George Sluizer,Horror;Thriller,france;loss of loved one;kidnapping;roadhouse;vacation;disappearance;missing person,NR,106,1988,Dutch,74.0,-,-,,,,
The Grandmaster,Tony Leung Chiu-Wai;Zhang Ziyi;Song Hye-kyo;Chang Chen;Zhao Benshan,Wong Kar-wai,Wong Kar-wai;Xu Haofeng,Action;Drama;History,martial arts;kung fu;biography;kung fu master,PG-13,130,2013,Mandarin,63.0,$3860000.00,$64076736.00,,,,
Slither,Nathan Fillion;Don Thompson;Elizabeth Banks;Gregg Henry;Xantha Radley,James Gunn,James Gunn,Comedy;Horror;Science Fiction,small town;mutant;meteor;meat;alien;violence;parasite;slug;bodily dismemberment;aftercreditsstinger;duringcreditsstinger;body horror,R,95,2006,English,62.0,$15500000.00,-,,,,
Miller's Crossing,John Turturro;Gabriel Byrne;Marcia Gay Harden;Steve Buscemi;Albert Finney,Joel Coen,Joel Coen;Dashiell Hammett;Ethan Coen,Drama;Thriller;Crime,corruption;street gang;prohibition;gun;irish-american;gambling debts;irish mob;violence,R,115,1990,English,75.0,$14000000.00,$5080409.00,,,,
Idle Hands,Devon Sawa;Seth Green;Jessica Alba;Vivica A. Fox;Christopher Hart,Rodman Flender,Ron Milbauer;Terri Hughes,Thriller;Comedy;Horror,teenager;attic;knitting needle;noise complaint;crawling hand;angel costume;trowel;bass guitarist;priestess,R,92,1999,English,60.0,$25000000.00,$4152230.00,,,,
Che: Part One,Benicio del Toro;Demián Bichir;Rodrigo Santoro;Santiago Cabrera;Julia Ormond,Steven Soderbergh,Ernesto 'Che' Guevara;Peter Buchman,Drama;History;War,biography;cuban revolution;che guevara;1950s;revolución cubana,R,134,2008,English,68.0,$30000000.00,-,,,,
Old School,Luke Wilson;Will Ferrell;Vince Vaughn;Ellen Pompeo;Leah Remini,Todd Phillips,Todd Phillips;Court Crandall;Scot Armstrong,Comedy,sex doll;streaking;mouth to mouth resuscitation,R,91,2003,English,66.0,$24000000.00,$87055349.00,,,,
The Quiet Earth,Bruno Lawrence;Alison Routledge;Anzac Wallace;Pete Smith;Tom Hyde,Geoff Murphy,Sam Pillsbury;Bill Baer;Craig Harrison;Bruno Lawrence,Drama;Science Fiction;Thriller,bomb;sex;based on novel;experiment;nudity;research;earth;survivor;government;alone;laboratory;disaster;disappearance;apocalypse;explosion;trust,R,91,1985,English,65.0,$1000000.00,-,,,,
Up for Love,Jean Dujardin;Virginie Efira;Cédric Kahn;César Domboy;Stéphanie Papanian,Laurent Tirard,Laurent Tirard;Marcos Carnevale;Grégoire Vigneron,Comedy;Romance,,not available,98,2016,French,59.0,$10000000.00,-,,,,
The Canal,Rupert Evans;Antonia Campbell-Hughes;Hannah Hoekstra;Steve Oram;Kelly Byrne,Ivan Kavanagh,Ivan Kavanagh,Horror;Mystery;Thriller,sex;cheating;supernatural;pregnancy;christmas,not available,92,2014,English,57.0,-,-,,,,
What's in a Name,Patrick Bruel;Valérie Benguigui;Charles Berling;Guillaume de Tonquédec;Judith El Zein,Matthieu Delaporte;Alexandre de La Patellière,Matthieu Delaporte;Matthieu Delaporte;Alexandre de La Patellière;Alexandre de La Patellière,Drama;Comedy,,not available,109,2012,French,73.0,-,-,,,,
Turkish for Beginners,Josefine Preuß;Elyas M’Barek;Anna Stieblich;Adnan Maral;Pegah Ferydoni,Bora Dağtekin,Bora Dağtekin,Comedy,,not available,105,2012,German,65.0,-,-,,,,
Chitty Chitty Bang Bang,Dick Van Dyke;Sally Ann Howes;Lionel Jeffries;Gert Fröbe;Anna Quayle,Ken Hughes,Ken Hughes;Ian Fleming;Roald Dahl,Music;Adventure;Fantasy;Comedy;Family,flying car;fantasy;oldtimer,G,144,1968,English,68.0,$10000000.00,-,,,,
Airplane II: The Sequel,Robert Hays;Julie Hagerty;Lloyd Bridges;Chad Everett;Peter Graves,Ken Finkleman,Ken Finkleman,Comedy,moon;space marine;coffee;space travel;spoof;bomb planting;aftercreditsstinger;anarchic comedy,PG,85,1982,English,59.0,-,$27150534.00,,,,
The Finest Hours,Chris Pine;Casey Affleck;Ben Foster;Eric Bana;Holliday Grainger,Craig Gillespie,Paul Tamasy;Eric Johnson;Scott Silver,Action;Drama;History;Thriller,coast guard;based on true story;survival;rescue mission;storm at sea;sinking ship;1950s;3d,PG-13,114,2016,English,63.0,$80000000.00,$52099090.00,,,,
Black Hawk Down,Josh Hartnett;Ewan McGregor;Jason Isaacs;Tom Sizemore;William Fichtner,Ridley Scott,Ken Nolan;Mark Bowden,Action;History;War,prisoners of war;wound;somalia;warlord;famine;delta force;rescue operation,R,144,2001,English,72.0,$92000000.00,$172989651.00,,,,
Babe: Pig in the City,James Cromwell;Mary Stein;Mickey Rooney;Magda Szubanski;E.G. Daily,George Miller,George Miller;Mark Lamprell;Judy Morris,Adventure;Comedy;Drama;Family;Fantasy,piggy bank;shortage of money;pig;farm;piglet;talking animal;talking dog;dog;chimpanzee;talking pig,G,92,1998,English,53.0,$90000000.00,$69131860.00,,,,
Love Wrecked,Amanda Bynes;Chris Carmack;Jonathan Bennett;Jamie-Lynn Sigler;Susan Duerden,Randal Kleiser,Stephen Langford,Family;Romance,beach;island;rock star;shipwreck;stranded;teenage crush;marooned;resort;lying,PG-13,87,2005,English,48.0,-,-,,,,
The Class,François Bégaudeau;Franck Keïta;Esmeralda Ouertani;Rachel Regulier;Wei Huang,Laurent Cantet,François Bégaudeau;François Bégaudeau;Laurent Cantet;Robin Campillo,Drama,paris;socially deprived family;literature;illegal immigration;immigrant;education;boredom;class society;violence in schools;republicanism;diversity;teacher;school;school life;teachers and students,PG-13,128,2008,French,69.0,-,$28814580.00,,,,
Logan Lucky,Channing Tatum;Adam Driver;Daniel Craig;Riley Keough;Seth MacFarlane,Steven Soderbergh,Rebecca Blunt,Action;Comedy;Crime,heist;racecar driver;nascar,PG-13,119,2017,English,66.0,$29000000.00,$47299234.00,,,,
A Perfect Day,Olga Kurylenko;Benicio del Toro;Tim Robbins;Mélanie Thierry;Feđa Štukan,Fernando León de Aranoa,Fernando León de Aranoa;Paula Farias,Comedy;Drama,road movie,R,106,2015,English,66.0,-,$1702433.00,,,,
It's a Boy Girl Thing,Kevin Zegers;Samaire Armstrong;Sherry Miller;Robert Joy;Sharon Osbourne,Nick Hurran,Geoff Deane;Geoff Deane;Steve Hamilton Shaw,Comedy;Fantasy;Romance,interview;high school;love;neighbor;curse;school;spell;teenager;popularity;body-swap;teen comedy;homecoming;public humiliation;soul transference,PG-13,95,2006,English,63.0,$15500000.00,$7385434.00,,,,
Ex,Claudio Bisio;Silvio Orlando;Elena Sofia Ricci;Ludovica Gargari;Carla Signoris,Fausto Brizzi,Fausto Brizzi;Marco Martani,Comedy,,not available,120,2009,Italian,55.0,$10000000.00,-,,,,
The Rescuers Down Under,Bob Newhart;Eva Gabor;John Candy;Tristan Rogers;Adam Ryen,Hendel Butoy;Mike Gabriel,Byron Simpson;Jim Cox;Karey Kirkpatrick;Joe Ranft,Adventure;Animation;Family;Fantasy,diamant;kidnapping;mouse;alligator;baby-snatching;eagle;australia;waterfall;poacher;nest;australian outback,G,77,1990,English,65.0,$37931000.00,$47431461.00,,,,
Camp Rock,Demi Lovato;Joe Jonas;Maria Canals-Barrera;Meaghan Jette Martin;Alyson Stoner,Matthew Diamond,Regina Y. Hicks;Karin Gist,Comedy;Drama;Music;TV Movie;Family,rock star;summer camp;aspiring singer;camp;singing;summer;teenager;lying;teenage romance,G,94,2008,English,60.0,-,-,,,,
The Animatrix,Keanu Reeves;Carrie-Anne Moss;Clayton Watson;Pamela Adlon;Melinda Clarke,Peter Chung;Yoshiaki Kawajiri;Shinichiro Watanabe;Kouji Morimoto;Mahiro Maeda;Takeshi Koike;Andrew R. Jones,Peter Chung;Yoshiaki Kawajiri;Shinichiro Watanabe;Kouji Morimoto;Lana Wachowski;Lilly Wachowski,Animation;Science Fiction,cyberpunk;alternate reality;matrix,PG-13,102,2003,English,69.0,$5000000.00,-,,,,
The Big-Hearted Will Take Away the Bride,Shah Rukh Khan;Kajol;Amrish Puri;Anupam Kher;Satish Shah,Aditya Chopra,Aditya Chopra;Aditya Chopra;Aditya Chopra,Comedy;Drama;Romance,musical,U,190,1995,Hindi,92.0,$13200000.00,$100000000.00,,,,
Mean Machine,Vinnie Jones;David Kelly;David Hemmings;Ralph Brown;Vas Blackwood,Barry Skolnick,Andrew Day;Charlie Fletcher;Chris Baker;Tracy Keenan Wynn,Comedy;Drama,prison;sport;amateur soccer;soccer coach,R,99,2001,English,61.0,-,-,,,,
Anacondas: The Hunt for the Blood Orchid,Johnny Messner;KaDee Strickland;Matthew Marsden;Nicholas Gonzalez;Eugene Byrd,Dwight H. Little,Hans Bauer;Daniel Zelman;John Claflin;Jack Epps Jr.;Michael Miner;Jim Cash;Edward Neumeier,Adventure;Action;Horror;Science Fiction;Thriller,snake;expedition;traitor;research;orchid;jungle;animal horror,PG-13,97,2004,English,50.0,$25.00,$71.00,,,,
Man of Tai Chi,Keanu Reeves;Tiger Hu Chen;Jeremy Marinas;Steven Dasz;Karen Mok,Keanu Reeves,Michael G. Cooney,Action;Drama,china;martial arts;tai chi;extortion;illegal matches,R,105,2013,English,59.0,$25000000.00,$2054941.00,,,,
Centurion,Michael Fassbender;Olga Kurylenko;David Morrissey;Liam Cunningham;Dominic West,Neil Marshall,Neil Marshall,Adventure;Action;Drama,roman empire;ancient rome;ancient world;violence;britain;behind enemy lines;sole survivor,R,97,2010,English,60.0,$12000000.00,$6814789.00,,,,
Heavenly Creatures,Melanie Lynskey;Kate Winslet;Sarah Peirse;Simon O'Connor;Diana Kent,Peter Jackson,Peter Jackson;Fran Walsh,Drama;Fantasy,mother;sex;secret;obsession;literature;nudity;fantasy;passion;love;friends;murder;independent film;lesbian;true;relationship;cult film,R,99,1994,English,70.0,$5000000.00,$3049135.00,,,,
Presto,Doug Sweetland,Doug Sweetland,Doug Sweetland;Justin Wright;Valerie LaPointe;Ted Mathot,Animation;Family,stage;banjo;magic;bunny;rabbi;rope;rescue;anger;short;pixar animation,G,5,2008,English,79.0,-,-,,,,
I Heart Huckabees,Jason Schwartzman;Isabelle Huppert;Dustin Hoffman;Lily Tomlin;Jude Law,David O. Russell,David O. Russell;Jeff Baena,Comedy;Romance,sex;detective;jealousy;humor;protest;wife;celebrity;rivalry;independent film;religion;universe;anger;nature;husband;existentialism;enviroment;issues,R,106,2004,English,62.0,$22000000.00,-,,,,
Kill Bill: Vol. 2,Uma Thurman;David Carradine;Daryl Hannah;Michael Madsen;Gordon Liu Chia-Hui,Quentin Tarantino,Quentin Tarantino,Action;Crime;Thriller,sibling relationship;swordplay;katana;mother role;rage and hate;daughter;right and justice;single;aftercreditsstinger;duringcreditsstinger,R,136,2004,English,77.0,$30000000.00,$152159461.00,,,,
All About My Mother,Penélope Cruz;Cecilia Roth;Marisa Paredes;Candela Peña;Antonia San Juan,Pedro Almodóvar,Pedro Almodóvar,Comedy;Drama,barcelona spain;transvestism;transsexuality;drug abuse;transplantation;madrid;birthday;autograph;actress;friend,not available,101,1999,Spanish,75.0,$8272296.00,$67872296.00,,,,
Pretty Woman,Julia Roberts;Richard Gere;Ralph Bellamy;Jason Alexander;Héctor Elizondo,Garry Marshall,J. F. Lawton,Romance;Comedy,prostitute;capitalism;cinderella;expensive restaurant;sports car;workaholic;fire escape;friendship;los angeles;piano,R,119,1990,English,71.0,$14000000.00,$463000000.00,,,,
Coco,Gad Elmaleh;Pascale Arbillot;Manu Payet;Jean Benguigui;Ary Abittan,Gad Elmaleh,Gad Elmaleh;Caroline Thivel,Comedy,,U,95,2009,French,44.0,-,-,,,,
Big Eyes,Amy Adams;Christoph Waltz;Krysten Ritter;Danny Huston;Jason Schwartzman,Tim Burton,Scott Alexander;Larry Karaszewski,Drama,wife husband relationship;artist;court case,PG-13,105,2014,English,69.0,$10000000.00,$28883511.00,,,,
Cube²: Hypercube,Kari Matchett;Geraint Wyn Davies;Grace Lynn Kung;Matthew Ferguson;Neil Crone,Andrzej Sekula,Lauren McLaughlin;Ernie Barbarash;Sean Hood,Thriller;Science Fiction;Mystery,riddle;detective;claustrophobia;hacker;maze;mathematics;cube,R,94,2002,English,55.0,-,-,,,,
Remember the Titans,Denzel Washington;Will Patton;Ryan Hurst;Wood Harris;Hayden Panettiere,Boaz Yakin,Gregory Allen Howard,Drama,ku klux klan;american football;trainer;sports team;race politics;coaction;apartheid;sport;high school;racial segregation;racist;based on true story;american football player;xenophobia;head coach,PG,113,2000,English,74.0,$30000000.00,$136706683.00,,,,
Escape to Victory,Michael Caine;Sylvester Stallone;Max von Sydow;Pelé;Carole Laure,John Huston,Yabo Yablonsky;Yabo Yablonsky;Đorđe Milićević;Evan Jones;Jeff Maguire,Action;Drama,escape;nazi germany;soccer,PG-13,116,1981,English,67.0,$10000000.00,$27453418.00,,,,
Heartbreak Ridge,Clint Eastwood;Marsha Mason;Everett McGill;Moses Gunn;Mario Van Peebles,Clint Eastwood,Dennis Hackin;Joseph Stinson;James Carabatsos,Action;Comedy;Drama;War,recruit;officer;battle assignment;marine;platoon;combat,R,130,1986,English,66.0,$15000000.00,$42724017.00,,,,
The Relic,Penelope Ann Miller;Tom Sizemore;Linda Hunt;James Whitmore;Clayton Rohner,Peter Hyams,Amanda Silver;Lincoln Child;Douglas Preston;John Raffo;Rick Jaffa;Amy Holden Jones,Horror;Mystery;Thriller,chicago;based on novel;monster;museum;pile of dead bodies;god;dead body;anthropologist;indian tribe;amazon jungle,R,110,1997,English,58.0,$60000000.00,$33956608.00,,,,
Fanny & Alexander,Allan Edwall;Ewa Fröling;Erland Josephson;Bertil Guve;Pernilla Allwin,Ingmar Bergman,Ingmar Bergman;Ingmar Bergman,Fantasy;Drama;Mystery,sibling relationship;loss of loved one;sweden;bishop;dying and death;funeral;theatre group;child prodigy;ghost;christmas;early 1900s,R,188,1982,Swedish,75.0,-,$4971340.00,,,,
The Eagle,Channing Tatum;Mark Strong;Jamie Bell;Donald Sutherland;Denis O'Hare,Kevin Macdonald,Rosemary Sutcliff;Jeremy Brock,Adventure;Drama,roman empire;slavery;ancient rome;eagle;honor;disappearance;ancient world;britain;slave,PG-13,114,2011,English,60.0,$25000000.00,$27122040.00,,,,
Christine,Keith Gordon;John Stockwell;Alexandra Paul;Robert Prosky;Harry Dean Stanton,John Carpenter,Bill Phillips;Stephen King,Horror,anthropomorphism;teenager;psychological drama;animate car;smart car;overprotective parent;heimlich maneuver,R,110,1983,English,65.0,-,$21200000.00,,,,
The Greatest Showman,Hugh Jackman;Zac Efron;Michelle Williams;Rebecca Ferguson;Zendaya,Michael Gracey,Jenny Bicks;Bill Condon,Drama;Music,circus;musical;biography;diversity;outcast;singing;dreamer;showman,PG,105,2017,English,81.0,$84000000.00,$388909997.00,,,,
The Warriors,Michael Beck;James Remar;David Patrick Kelly;Dorsey Wright;David Harris,Walter Hill,Walter Hill;Sol Yurick;David Shaber,Action;Adventure;Crime;Drama;Thriller,street gang;disc jockey;gang war;gangster;coney island;gang;new york city;gang member;cult film;new york subway;girl gang;warrior,R,93,1979,English,75.0,$4000000.00,$22490039.00,,,,
Silverado,Kevin Kline;Scott Glenn;Kevin Costner;Danny Glover;Brian Dennehy,Lawrence Kasdan,Lawrence Kasdan;Mark Kasdan,Action;Crime;Drama;Western,sheriff;fight;horse;male friendship;two guns belt,PG-13,127,1985,English,71.0,$26000000.00,-,,,,
American Made,Tom Cruise;Sarah Wright;Domhnall Gleeson;Alejandro Edda;Mauricio Mejía,Doug Liman,Gary Spinelli,Action;Comedy;Crime;History,cia;pilot;illegal drugs;dea agent;latin america;1980s,R,115,2017,English,66.0,$50000000.00,$133511855.00,,,,
Bright Star,Abbie Cornish;Ben Whishaw;Paul Schneider;Kerry Fox;Edie Martin,Jane Campion,Jane Campion,Drama;Romance,poet;independent film;duringcreditsstinger;woman director,PG,119,2009,English,68.0,$10000000.00,-,,,,
Contempt,Brigitte Bardot;Michel Piccoli;Jack Palance;Giorgia Moll;Fritz Lang,Jean-Luc Godard,Jean-Luc Godard;Alberto Moravia,Drama,love triangle;italy;capri;cinecittà;villa;movie business;screenwriter;jealousy;car crash;divorce,NR,103,1963,French,75.0,$900000.00,$528428.00,,,,
John Wick,Keanu Reeves;Michael Nyqvist;Alfie Allen;Willem Dafoe;Dean Winters,David Leitch;Chad Stahelski,Derek Kolstad,Action;Thriller,usa;hitman;gangster;shooting;russian mafia;revenge;murder;killer;dog;retired;widower,R,101,2014,English,70.0,$20000000.00,$88761661.00,,,,
Fantastic 4: Rise of the Silver Surfer,Ioan Gruffudd;Jessica Alba;Chris Evans;Michael Chiklis;Julian McMahon,Tim Story,Mark Frost;Mark Frost;John Turman;Don Payne,Adventure;Fantasy;Action;Thriller,fire;helicopter;surfboard;mask;satellite;airplane;transformation;forest;resurrection;sequel;superhero;based on comic;outer space;wedding;explosion;scientist;interrogation;double cross;fantastic four;military;earth in peril;superhuman strength;duringcreditsstinger;invisibility;silver surfer;forcefield;elasticity;absorbing power,PG-13,92,2007,English,54.0,$130000000.00,$289047763.00,,,,
Absolute Power,Clint Eastwood;Gene Hackman;Ed Harris;Scott Glenn;Laura Linney,Clint Eastwood,David Baldacci;William Goldman,Crime;Drama;Thriller,corruption;assassination;washington d.c.;rape;white house;usa president;daughter;government;suspense;secret service;secret service agent,R,121,1997,English,64.0,$50000000.00,$50068310.00,,,,
Lords of Dogtown,Emile Hirsch;Victor Rasuk;Rebecca De Mornay;John Robinson;Michael Angarano,Catherine Hardwicke,Stacy Peralta,Drama,skateboarding;success;independent film;woman director,PG-13,107,2005,English,70.0,$25000000.00,$13411957.00,,,,
A Dangerous Method,Keira Knightley;Viggo Mortensen;Michael Fassbender;Sarah Gadon;Vincent Cassel,David Cronenberg,John Kerr;Christopher Hampton,Drama;Thriller,based on novel;psychoanalysis;sigmund freud;biography;spanking;cigar smoking;cheating husband;patient;based on true events;carl jung,R,99,2011,English,63.0,$15000000.00,$27462041.00,,,,
3000 Miles to Graceland,Kurt Russell;Kevin Costner;Courteney Cox;Christian Slater;Kevin Pollak,Demian Lichtenstein,Demian Lichtenstein;Richard Recco,Action;Adventure;Comedy;Crime;Thriller,prison;casino;robbery;submachine gun;mass murder;kidnapping;elvis;betrayal;trial;disguise;death;duringcreditsstinger,R,125,2001,English,57.0,$62000000.00,$18720175.00,,,,
High Fidelity,John Cusack;Iben Hjejle;Todd Louiso;Jack Black;Lisa Bonet,Stephen Frears,Scott Rosenberg;D.V. DeVincentis;Nick Hornby;Steve Pink;John Cusack,Comedy;Drama;Romance;Music,chicago;music record;rock and roll;record store;soul;disc jockey;pop;bruce frederick joseph springsteen;record collection,R,113,2000,English,71.0,$30000000.00,$47126295.00,,,,
Underworld: Evolution,Kate Beckinsale;Scott Speedman;Tony Curran;Shane Brolly;Derek Jacobi,Len Wiseman,Danny McBride,Fantasy;Action;Science Fiction;Thriller,budapest;key;vampire;light;werewolf;evolution,R,106,2006,English,64.0,$50000000.00,$111340801.00,,,,
12 Strong,Chris Hemsworth;Michael Shannon;Michael Peña;Trevante Rhodes;Navid Negahban,Nicolai Fuglsig,Peter Craig;Ted Tally,War;Drama;History,cia;based on novel;afghanistan;taliban;post 9/11;cia agent,not available,130,2018,English,48.0,-,$47965355.00,,,,
The Broken Circle Breakdown,Veerle Baetens;Johan Heldenbergh;Nell Cattrysse;Geert Van Rampelberg;Nils De Caster,Felix Van Groeningen,Felix Van Groeningen;Carl Joos,Drama,,not available,112,2012,Dutch,77.0,-,$5475058.00,,,,
Twins,Arnold Schwarzenegger;Danny DeVito;Kelly Preston;Chloe Webb;David Caruso,Ivan Reitman,William Osborne;William Davies;Timothy Harris;Herschel Weingrod,Comedy,experiment;orphanage;perfection;delivery;low intelligence;jet engine;twins separated at birth;artist colony;same habits;opposites,PG,107,1988,English,57.0,$15000000.00,$216614388.00,,,,
Tremors 3: Back to Perfection,Michael Gross;Shawn Christian;Susan Chuang;Charlotte Stewart;Ariana Richards,Brent Maddock,Brent Maddock;Nancy Roberts;S. S. Wilson,Action;Comedy;Horror;Science Fiction;Thriller,small town;graboids;shriekers;tourist attraction;toy car;real estate agent;giant worm;flaming arrow,PG,104,2001,English,53.0,-,-,,,,
The Postman,Kevin Costner;Will Patton;Olivia Williams;Larenz Tate;Tom Petty,Kevin Costner,David Brin;Brian Helgeland;Eric Roth,Drama;Adventure,usa;post;postman;army;apocalypse,R,177,1997,English,61.0,$80000000.00,$17626234.00,,,,
Wild Card,Jason Statham;Michael Angarano;Milo Ventimiglia;Dominik García-Lorido;Anne Heche,Simon West,William Goldman;William Goldman,Thriller;Crime;Drama,gambling;bodyguard;remake,R,92,2015,English,54.0,$30000000.00,-,,,,
Alibi.com,Philippe Lacheau;Élodie Fontan;Julien Arruti;Tarek Boudali;Nathalie Baye,Philippe Lacheau,Philippe Lacheau,Comedy,alibi,12,90,2017,French,68.0,-,$222430.00,,,,
Vincent,Vincent Price,Tim Burton,Tim Burton;Tim Burton,Animation;Fantasy,narration;boy;mama's boy;stop motion;spoof;gothic;cult film;macabre;imagination;short,G,6,1982,English,79.0,$60000.00,-,,,,
Amadeus,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice;Simon Callow,Miloš Forman,Peter Shaffer,Drama;History;Music,italy;austria;composer;opera;talent;emperor;musician;marriage crisis;mozart;god;murder;vienna austria;envy;18th century,R,160,1984,English,79.0,$18000000.00,$51973029.00,,,,
Remember Me,Robert Pattinson;Emilie de Ravin;Pierce Brosnan;Lena Olin;Chris Cooper,Allen Coulter,Will Fetters,Drama;Romance,new york;parent child relationship;grieving;romantic drama;young adult;college student;21st century,PG-13,113,2010,English,69.0,$16000000.00,$56032889.00,,,,
The Pact,Caity Lotz;Casper Van Dien;Agnes Bruckner;Mark Steger;Haley Hudson,Nicholas McCarthy,Nicholas McCarthy,Horror;Mystery;Thriller,haunting;childhood home;death of mother;mourning,R,89,2012,English,55.0,-,-,,,,
Dreamship Surprise - Period 1,Michael Herbig;Rick Kavanian;Christian Tramitz;Anja Kling;Til Schweiger,Michael Herbig,Michael Herbig;Rick Kavanian;Alfons Biedermann,Comedy;Science Fiction,taxi driver;space marine;time travel,not available,87,2004,German,62.0,$9000000.00,$76341401.00,,,,
