title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Solomon Kane,James Purefoy;Pete Postlethwaite;Alice Krige;Mackenzie Crook;Max von Sydow,M.J. Bassett,M.J. Bassett,Adventure;Fantasy;Action;Science Fiction,mercenary;murder;puritan;sorcerer;trap;bag over head;violence;gothic horror;covered wagon;monastery;mercy killing;healing;robert e. howard;hanged body;pile of gold;cloak;sword and sorcery,R,104,2009,English,56.0,$45000000.00,$7810000.00,,,,
Exodus: Gods and Kings,Christian Bale;Joel Edgerton;John Turturro;Aaron Paul;Ben Mendelsohn,Ridley Scott,Bill Collage;Adam Cooper;Jeffrey Caine;Steven Zaillian,Adventure;Drama;Action,moses;bible;racism;slave;ancient egypt;3d;ramses,PG-13,150,2014,English,56.0,$140000000.00,$268031828.00,,,,
Max & Leon,Grégoire Ludig;David Marsais;Bernard Farcy;Dominique Pinon;Julien Pestel,Jonathan Barré,,War;Comedy,,not available,98,2016,French,66.0,$12156348.00,$7900000.00,,,,
Colonia,Emma Watson;Daniel Brühl;Michael Nyqvist;Richenda Carey;Vicky Krieps,Florian Gallenberger,Florian Gallenberger;Torsten Wenzel,Thriller;Drama;Romance;History,kidnapping;cult;chile;religious fanatic;political unrest,R,120,2015,English,73.0,$14000000.00,$3621046.00,,,,
Saw,Cary Elwes;Danny Glover;Monica Potter;Michael Emerson;Ken Leung,James Wan,Leigh Whannell;Leigh Whannell;James Wan,Horror;Mystery;Crime,shotgun;based on short film;sadist;pistol;cult film;chained;bludgeoning;game of death,R,103,2004,English,73.0,$1200000.00,$103911669.00,,,,
My Life as a Zucchini,Gaspard Schlatter;Sixtine Murat;Paulin Jaccoud;Michel Vuillermoz;Raul Ribera,Claude Barras,Gilles Paris;Céline Sciamma,Animation;Drama;Family,orphanage;thief;police officer;alcoholic;amusement park,PG-13,66,2016,French,78.0,$8000000.00,$292279.00,,,,
Star Trek IV: The Voyage Home,William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei,Leonard Nimoy,Peter Krikes;Harve Bennett;Nicholas Meyer;Steve Meerson,Science Fiction;Adventure,saving the world;san francisco;uss enterprise-a;time travel;whale;marine biologist;vulcan;space opera,PG,119,1986,English,70.0,$24000000.00,$133000000.00,,,,
The Wizard of Lies,Robert De Niro;Michelle Pfeiffer;Hank Azaria;Kristen Connolly;Lily Rabe,Barry Levinson,Samuel Baum;Sam Levinson;John Burnham Schwartz,Crime;Drama;History;TV Movie,based on novel;client;biography;scam;ponzi scheme;madoff;defraud,not available,133,2017,English,65.0,-,-,,,,
Barbie in the 12 Dancing Princesses,Nicole Oliver;Lalainia Lindbjerg;Kathleen Barr;Chiara Zanni;Kelly Sheridan,Greg Richardson,Cliff Ruby;Elana Lesser,Animation;Family,sibling relationship;dance;barbie;princess;ballet,G,83,2006,English,71.0,-,-,,,,
The Man with the Iron Fists,Russell Crowe;Lucy Liu;Jamie Chung;RZA;Zhu Zhu,RZA,RZA;Eli Roth,Action,blacksmith;brothel;femme fatale;violence;ancient china;crossbow;duringcreditsstinger;lens flare;feudality,R,96,2012,English,52.0,$15000000.00,$15608545.00,,,,
